,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-3.6e-05,2.4e-05,3e-06,-1.7e-05,8e-06,-4.6e-05,4.1e-05
5,5.302927,0.705401,-20.693812,-1.531722,0.224411,-3.592437,39.04858
6,9.117741,1.468364,-17.641961,-2.294685,-3.590402,-0.540586,48.204133
7,9.117741,-1.583487,-13.827147,2.283092,4.802188,4.800153,40.574506
8,5.302927,-1.583487,-12.301222,3.809017,-2.82744,7.089042,20.737475
9,4.539965,-1.583487,-10.012334,6.097905,-5.879291,7.089042,-2.151407
10,0.725151,-2.34645,-7.723445,6.097905,2.513299,9.37793,-20.462513
11,0.725151,2.231327,-4.671594,5.334943,0.987374,4.800153,-26.566215
12,-2.3267,2.231327,-3.145669,0.757166,0.987374,1.748302,-28.09214
13,-6.904476,1.468364,1.432108,0.757166,-0.538551,1.748302,-20.462513
14,-8.430402,2.231327,6.772847,-3.057648,-5.116328,0.98534,-6.729184
15,-9.193365,2.231327,9.824698,-3.057648,-0.538551,1.748302,7.004146
16,-11.482253,2.231327,10.58766,-4.583573,3.276262,0.222377,14.633773
17,-13.771141,-0.820524,12.876549,-7.635424,2.513299,-3.592437,22.2634
18,-13.008178,2.994289,14.402474,-6.872461,5.56515,-2.829474,26.078214
19,-9.956327,6.04614,19.743213,-6.109499,1.750337,-2.066511,18.448587
20,-8.430402,3.757252,23.558027,-6.872461,-4.353365,-1.303549,5.47822
21,-8.430402,3.757252,26.609878,-3.82061,0.224411,0.222377,-8.255109
22,-6.141514,-0.057561,25.846915,-3.057648,2.513299,-1.303549,-26.566215
23,-5.378551,-0.820524,25.083952,-3.057648,-2.064477,0.222377,-34.195842
24,-3.089663,-1.583487,24.32099,-0.768759,0.224411,0.222377,-29.618066
25,-0.037812,-0.820524,24.32099,0.757166,-1.301514,-1.303549,-13.595848
26,2.251076,-4.635338,20.506176,-0.005797,-4.353365,-3.592437,5.47822
27,3.777002,-7.687189,18.980251,2.283092,-0.538551,-2.829474,18.448587
28,7.591816,-6.924226,13.639511,3.809017,1.750337,-2.829474,21.500438
29,9.880704,-6.161263,10.58766,5.334943,-2.82744,-0.540586,16.922661
30,9.880704,-6.161263,0.669145,4.57198,-1.301514,2.511265,4.715257
31,11.406629,-3.109412,-5.434557,6.097905,0.987374,4.037191,-5.203258
32,11.406629,2.231327,-10.775296,3.809017,-1.301514,2.511265,-11.30696
33,9.880704,0.705401,-11.538259,3.809017,-2.82744,0.222377,-12.832886
34,5.302927,-3.872375,-17.641961,0.757166,-5.116328,-2.829474,-11.30696
35,4.539965,3.757252,-16.878998,0.757166,-2.82744,-2.829474,-5.203258
36,1.488114,-2.34645,-18.404924,-0.005797,5.56515,-4.355399,-2.91437
37,-3.852626,-10.73904,-22.9827,-0.768759,9.379964,-4.355399,-1.388445
38,-1.563737,-4.635338,-22.9827,-6.109499,1.750337,-3.592437,1.663406
39,2.251076,-1.583487,-22.219737,-5.346536,0.987374,-2.066511,3.952295
40,3.777002,-1.583487,-19.930849,-3.057648,0.224411,-0.540586,6.241183
41,8.354778,4.520215,-18.404924,-4.583573,-2.82744,0.222377,7.004146
42,10.643666,6.809103,-14.59011,0.757166,8.617001,4.037191,13.107847
43,6.828853,-1.583487,-13.827147,3.809017,3.276262,7.852004,16.922661
44,4.539965,-3.872375,-10.775296,1.520129,-2.82744,12.429781,13.107847
45,7.591816,5.283178,-6.960483,7.623831,2.513299,19.296445,7.767108
46,6.828853,6.04614,-1.619743,6.097905,-5.116328,18.533483,1.663406
47,-0.800775,-4.635338,-1.619743,2.283092,-7.405216,12.429781,-5.966221
48,-2.3267,1.468364,5.246921,2.283092,2.513299,7.089042,-9.781035
49,-4.615588,3.757252,9.824698,-0.005797,-0.538551,-1.303549,-9.781035
50,-9.193365,-1.583487,11.350623,-3.82061,0.987374,-8.170213,-11.30696
51,-12.245216,-0.057561,12.113586,-4.583573,9.379964,-8.933176,-9.018072
52,-13.008178,-0.057561,15.9284,-6.109499,0.987374,-9.696139,-2.91437
53,-13.771141,-2.34645,16.691362,-7.635424,0.224411,-6.644288,7.767108
54,-14.534104,-0.820524,19.743213,-4.583573,0.224411,-5.118362,14.633773
55,-12.245216,3.757252,21.269139,-4.583573,-2.064477,-2.829474,16.159698
56,-11.482253,4.520215,23.558027,-2.294685,2.513299,-1.303549,12.344885
57,-7.667439,0.705401,22.795064,2.283092,7.091076,0.98534,3.189332
58,-7.667439,-4.635338,22.795064,-0.005797,3.276262,-0.540586,-9.018072
59,-5.378551,-2.34645,20.506176,-0.768759,-2.064477,0.222377,-21.988438
60,-2.3267,-1.583487,18.217288,-3.057648,-8.168179,-3.592437,-25.040289
61,1.488114,-0.057561,15.165437,-0.005797,-2.82744,-7.40725,-20.462513
62,4.539965,0.705401,12.876549,1.520129,3.276262,-12.74799,-15.121774
63,7.591816,1.468364,8.298772,2.283092,4.802188,-13.510952,-3.677333
64,6.828853,-0.057561,4.483958,4.57198,3.276262,-10.459101,10.818959
65,9.117741,-0.820524,-0.856781,4.57198,-0.538551,-2.829474,21.500438
66,7.591816,1.468364,-5.434557,4.57198,-4.353365,3.274228,22.2634
67,5.302927,-0.820524,-13.064184,4.57198,-2.064477,7.089042,18.448587
68,4.539965,0.705401,-16.878998,3.809017,-2.064477,5.563116,10.818959
69,3.777002,6.04614,-19.167886,3.046054,-2.064477,1.748302,0.900444
70,3.014039,4.520215,-19.167886,1.520129,-0.538551,-2.829474,-9.781035
71,-0.800775,-0.820524,-19.930849,-0.768759,0.224411,-5.881325,-16.647699
72,-1.563737,-3.872375,-19.930849,-3.057648,1.750337,-7.40725,-21.225476
73,0.725151,-6.161263,-20.693812,-3.82061,1.750337,-7.40725,-20.462513
74,-0.037812,-11.502003,-22.219737,-3.82061,2.513299,-5.881325,-11.30696
75,5.302927,-6.924226,-20.693812,-3.057648,4.802188,-2.829474,3.952295
76,12.169592,-3.872375,-19.167886,-3.057648,3.276262,-0.540586,16.159698
77,13.695517,-2.34645,-18.404924,-2.294685,3.276262,3.274228,23.789326
78,15.221443,-3.109412,-13.827147,0.757166,1.750337,9.37793,29.893028
79,14.45848,0.705401,-13.064184,2.283092,-4.353365,10.903855,27.604139
80,11.406629,2.231327,-11.538259,2.283092,-1.301514,12.429781,12.344885
81,6.06589,2.231327,-10.012334,2.283092,1.750337,9.37793,-0.625482
82,-1.563737,0.705401,-8.486408,-0.005797,-2.064477,6.326079,-10.543997
83,-6.904476,5.283178,-2.382706,2.283092,3.276262,6.326079,-14.358811
84,-11.482253,5.283178,0.669145,-2.294685,-2.064477,1.748302,-18.936588
85,-16.822992,3.757252,5.246921,-5.346536,-11.22003,-1.303549,-15.884737
86,-19.874843,1.468364,6.772847,-5.346536,-2.064477,-2.066511,-12.832886
87,-17.585955,4.520215,9.824698,-3.82061,4.802188,-2.066511,-3.677333
88,-16.060029,1.468364,10.58766,-3.82061,1.750337,-3.592437,8.530071
89,-12.245216,-0.057561,12.876549,-3.057648,7.854039,-2.066511,18.448587
90,-8.430402,1.468364,12.876549,-3.057648,4.039225,-2.066511,22.2634
91,-4.615588,3.757252,17.454325,-3.82061,-5.116328,-3.592437,21.500438
92,-4.615588,0.705401,18.980251,-2.294685,-2.82744,-3.592437,12.344885
93,-4.615588,0.705401,22.795064,-0.768759,4.039225,-3.592437,0.900444
94,-4.615588,0.705401,23.558027,0.757166,4.802188,-5.118362,-14.358811
95,-5.378551,-0.057561,26.609878,-0.768759,3.276262,-4.355399,-31.143991
96,-4.615588,-1.583487,25.846915,-0.768759,2.513299,-2.066511,-38.773619
97,-3.852626,-4.635338,26.609878,-2.294685,-6.642253,-1.303549,-32.669917
98,0.725151,-0.820524,22.795064,-2.294685,-5.116328,0.222377,-16.647699
99,4.539965,-2.34645,20.506176,-0.768759,0.224411,0.222377,-0.625482
100,7.591816,-4.635338,14.402474,-0.005797,0.224411,0.222377,16.159698
101,10.643666,-3.872375,9.061735,1.520129,1.750337,4.800153,29.893028
102,13.695517,0.705401,4.483958,2.283092,6.328113,7.089042,34.470804
103,14.45848,1.468364,-0.093818,0.757166,-0.538551,7.852004,23.026363
104,12.169592,0.705401,-5.434557,-2.294685,-3.590402,5.563116,6.241183
105,10.643666,6.04614,-7.723445,-0.768759,-2.064477,1.748302,-5.966221
106,6.06589,2.994289,-10.012334,-2.294685,-6.642253,-4.355399,-13.595848
107,1.488114,-6.924226,-12.301222,-0.768759,-0.538551,-8.170213,-19.69955
108,-0.800775,-8.450152,-13.827147,1.520129,10.142927,-9.696139,-26.566215
109,0.725151,-5.398301,-14.59011,0.757166,7.091076,-10.459101,-25.803252
110,0.725151,-10.73904,-19.167886,-1.531722,0.224411,-6.644288,-16.647699
111,4.539965,-9.213114,-20.693812,-0.768759,1.750337,-2.829474,-0.625482
112,9.880704,-1.583487,-22.9827,-0.768759,-3.590402,-1.303549,19.211549
113,14.45848,-0.057561,-22.219737,-0.005797,-3.590402,0.98534,38.285618
