,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,2e-05,3e-05,-1.7e-05,-8e-06,4.1e-05,-0.0,-3.2e-05
5,-10.141769,10.407934,8.904788,-6.463258,8.328405,-12.475667,-0.348126
6,-12.430657,9.644972,3.564049,-7.989183,5.276554,-16.290481,29.407421
7,-14.719546,-1.036507,4.327011,-2.648444,-0.064186,-13.23863,40.851862
8,-20.823247,-9.429097,0.512198,-2.648444,-3.116037,-7.134928,35.511123
9,-17.008434,-7.140209,4.327011,-1.885481,-5.404925,-1.794189,21.014831
10,-9.378806,-0.273544,5.089974,-0.359556,-4.641962,3.546551,-7.977753
11,-1.749179,2.015344,5.852937,-0.359556,-8.456776,6.598401,-41.548114
12,4.354523,2.778307,5.089974,3.455258,-3.878999,12.702103,-54.51848
13,9.695262,-2.562432,4.327011,4.218221,-3.116037,16.516917,-53.755518
14,11.98415,-2.562432,-0.250765,6.507109,-11.508627,21.857656,-43.074039
15,15.798964,5.067195,-2.539653,1.16637,-9.982701,23.383582,-11.792567
16,12.747113,12.696822,-3.302616,4.981183,0.698777,22.620619,30.170383
17,4.354523,-7.140209,-5.591504,1.929332,5.276554,17.27988,67.555557
18,-10.141769,-0.273544,-8.643355,0.403407,4.513591,10.413215,87.392589
19,-11.667695,4.304232,-1.013728,-1.885481,5.276554,4.309513,75.185185
20,-26.163987,0.489419,-4.828542,-5.700295,-11.508627,-4.083077,25.592607
21,-25.401024,-1.79947,-1.013728,-9.515109,-11.508627,-10.186779,-30.866636
22,-23.112136,0.489419,-1.013728,-7.22622,-4.641962,-10.949741,-65.199959
23,-20.823247,-4.85132,-2.539653,-9.515109,-6.167887,-13.23863,-78.933288
24,-8.615844,-6.377246,-4.828542,-1.885481,1.46174,-1.794189,-72.829586
25,6.643411,0.489419,-9.406318,3.455258,-2.353074,12.702103,-46.12589
26,15.798964,3.54127,-13.221132,4.218221,-9.219738,28.724321,-7.214791
27,19.613778,-21.636501,-21.613722,9.55896,-0.827148,40.168762,34.74816
28,24.954517,-9.429097,-20.850759,9.55896,-6.167887,39.405799,73.659259
29,34.873032,13.459785,-13.984094,3.455258,-6.93085,26.435433,93.496291
30,25.717479,8.882009,-11.695206,4.981183,0.698777,11.176178,72.896297
31,14.273038,-5.614283,-6.354467,-1.885481,-9.982701,-6.371965,19.488905
32,6.643411,8.882009,-1.776691,-7.22622,-5.404925,-13.23863,-40.022188
33,3.59156,4.304232,1.27516,-6.463258,6.039516,-10.186779,-81.985139
34,-7.852881,-10.19206,-4.828542,-8.752146,-3.116037,-0.268263,-92.666617
35,-4.80103,-2.562432,-3.302616,-10.278071,-6.93085,16.516917,-70.540698
36,-2.512142,9.644972,-4.065579,-8.752146,-6.167887,30.250246,-25.525896
37,-0.223254,2.778307,-5.591504,-4.937332,-13.034552,40.168762,14.911129
38,0.539709,5.067195,-4.065579,-3.411407,-10.745664,42.45765,52.296303
39,4.354523,21.852375,-1.776691,-0.359556,-1.590111,38.642836,85.1037
40,2.065635,14.222748,-1.776691,-3.411407,3.750628,24.909507,91.970365
41,-13.956583,-13.243911,-4.828542,0.403407,9.85433,10.413215,64.503707
42,-17.008434,-7.903171,-2.539653,-4.174369,-1.590111,-10.186779,14.148166
43,-14.719546,-4.088358,0.512198,-7.22622,-8.456776,-26.971959,-38.496263
44,-17.008434,-9.429097,4.327011,-4.174369,2.224703,-34.601586,-78.933288
45,-10.141769,-0.273544,9.667751,-4.174369,-6.93085,-38.4164,-100.296245
46,2.065635,14.222748,9.667751,-1.885481,1.46174,-30.02381,-97.244394
47,8.169337,8.882009,11.193676,8.795997,5.276554,-11.712704,-55.281443
48,8.932299,1.252381,2.801086,9.55896,-16.849366,3.546551,13.385203
49,15.036001,5.067195,4.327011,14.136736,-16.849366,21.094693,72.896297
50,17.324889,-2.562432,-0.250765,16.425624,9.85433,30.250246,98.074067
51,12.747113,-8.666134,1.27516,18.714513,13.669144,28.724321,91.970365
52,11.98415,-3.325395,2.801086,9.55896,-0.064186,25.67247,69.081483
53,3.59156,2.778307,7.378862,4.218221,-0.827148,17.27988,26.35557
54,-7.089918,-6.377246,6.6159,-3.411407,-0.827148,1.257662,-24.762934
55,-17.771397,-6.377246,5.852937,-11.041034,-8.456776,-16.290481,-78.170325
56,-17.008434,11.170897,7.378862,-14.855848,4.513591,-26.971959,-110.21476
57,-16.245471,12.696822,5.089974,-11.041034,14.432106,-30.786773,-95.718468
58,-17.008434,-0.273544,2.038123,-11.803997,-10.745664,-22.394183,-50.703667
59,-10.141769,-0.273544,3.564049,-9.515109,-19.901217,-5.609002,1.177799
60,-0.986216,9.644972,3.564049,-2.648444,-0.064186,11.939141,43.903713
61,3.59156,-7.140209,-0.250765,6.507109,7.565442,20.331731,73.659259
62,0.539709,-21.636501,-7.11743,9.55896,8.328405,22.620619,90.44444
