,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-3e-06,-7e-06,-2.2e-05,3.6e-05,4.5e-05,1.2e-05,-1.8e-05
5,-1.970429,0.333505,9.316176,1.214813,9.944498,-18.689396,-20.607753
6,0.318459,-2.718346,7.790251,5.029627,9.181536,-6.481992,3.807054
7,0.318459,-8.822048,1.686549,2.740739,-6.077719,6.488375,32.036675
8,4.896236,-0.429457,-0.60234,3.503702,-4.551794,20.984667,58.740371
9,8.711049,9.489058,2.449511,3.503702,0.025983,21.747629,75.525551
10,6.422161,7.20017,3.975437,2.740739,-5.314756,17.932816,84.681104
11,4.133273,4.911282,10.842101,-0.311112,-6.077719,6.488375,66.369999
12,3.37031,7.963133,12.368027,-2.6,5.366722,-5.719029,9.910756
13,-0.444504,1.096468,13.13099,-4.125926,9.181536,-17.926433,-52.652188
14,-5.02228,-10.347973,11.605064,-5.651851,3.077834,-20.215321,-83.933661
15,-5.785243,-11.110936,6.264325,-8.703702,4.603759,-12.585694,-90.800325
16,-1.970429,-2.718346,6.264325,-5.651851,5.366722,-3.430141,-77.066996
17,4.133273,-2.718346,7.027288,-4.125926,-7.603645,7.251337,-37.392934
18,4.896236,-4.244271,3.212474,-4.125926,-4.551794,17.932816,7.621868
19,10.236975,8.726095,4.7384,4.266664,8.418573,25.562443,46.532967
20,7.948087,0.333505,1.686549,6.555553,0.788946,21.747629,73.999626
21,1.844385,-8.059085,0.160623,5.79259,-4.551794,17.169853,86.969993
22,4.133273,2.622393,-2.891228,2.740739,2.314871,7.251337,70.184812
23,5.659198,11.014984,-3.654191,0.451851,6.892647,-8.007917,38.140377
24,-1.970429,-0.429457,-4.417153,-1.074075,-2.262905,-22.504209,0.755203
25,-7.311168,-5.770197,-6.706041,-5.651851,-3.025868,-27.081986,-44.259598
26,-5.02228,4.911282,-3.654191,-0.311112,5.366722,-27.081986,-81.644772
27,-10.363019,-1.955383,-6.706041,-3.362963,-3.025868,-26.319023,-93.852176
28,-10.363019,-12.636861,-8.99493,-1.837038,-9.892533,-14.111619,-85.459586
29,-4.259317,1.096468,-12.046781,2.740739,3.840796,1.147635,-51.889226
30,3.37031,11.777946,-9.757892,5.029627,-2.262905,12.592076,7.621868
31,-1.207466,-1.955383,-12.046781,4.266664,-9.892533,22.510592,67.132961
32,-0.444504,1.096468,-9.757892,7.318515,0.025983,29.377257,101.466285
33,5.659198,16.355723,-3.654191,4.266664,4.603759,23.273555,112.910726
34,-0.444504,6.437207,0.160623,1.977776,2.314871,13.355039,90.021843
35,-6.548205,-7.296122,4.7384,-4.125926,-0.73698,1.910598,31.273713
36,-0.444504,5.674244,10.079139,-6.414814,3.077834,-12.585694,-33.57812
37,4.133273,11.777946,16.945803,-5.651851,7.65561,-22.504209,-79.355884
38,-0.444504,-11.873899,14.656915,-4.125926,7.65561,-21.741247,-96.904027
39,4.896236,-12.636861,15.419878,-2.6,9.181536,-11.822731,-87.748474
40,15.577714,4.911282,16.945803,0.451851,3.840796,3.436524,-60.281816
41,17.866602,-3.481308,12.368027,1.214813,-9.892533,14.118002,-24.422567
42,16.340677,-10.347973,9.316176,1.977776,-15.996235,22.510592,22.881123
43,20.15549,11.777946,10.079139,6.555553,-5.314756,22.510592,72.473701
44,17.103639,11.014984,10.842101,11.896292,6.129685,15.643927,101.466285
45,-0.444504,-11.110936,8.553213,8.844441,-4.551794,1.147635,93.836657
46,-4.259317,2.622393,11.605064,5.79259,-0.73698,-7.244955,59.503334
47,-5.02228,10.252021,11.605064,2.740739,5.366722,-18.689396,4.570017
48,-17.992646,-8.822048,6.264325,-2.6,-7.603645,-28.607911,-50.3633
49,-22.570423,-14.162787,2.449511,-5.651851,-8.366607,-31.659762,-88.511437
50,-15.703758,3.385356,1.686549,-1.837038,3.840796,-27.844949,-96.141064
51,-12.651907,0.333505,-1.365302,-1.837038,-3.788831,-24.030135,-74.778108
52,-12.651907,-10.347973,-6.706041,-3.362963,-7.603645,-11.059768,-34.341083
53,-1.970429,1.096468,-10.520855,1.214813,6.892647,4.199486,10.673719
54,6.422161,6.437207,-10.520855,3.503702,3.077834,15.643927,48.058893
55,1.081422,-5.770197,-15.098632,3.503702,-8.366607,26.325406,71.710738
56,4.896236,4.148319,-14.335669,5.029627,0.788946,30.903182,83.918142
57,8.711049,21.696462,-10.520855,4.266664,5.366722,23.273555,79.340365
58,3.37031,14.829797,-4.417153,1.214813,-2.262905,11.066151,47.29593
59,-8.074131,-0.429457,-3.654191,-6.414814,-4.551794,-1.904216,-6.111461
60,-7.311168,4.911282,2.449511,-5.651851,5.366722,-14.874582,-55.704039
61,-5.785243,1.859431,4.7384,-7.177777,3.840796,-24.030135,-85.459586
62,-8.074131,-13.399824,-0.60234,-4.125926,0.788946,-21.741247,-90.800325
63,1.081422,-12.636861,-0.60234,-1.074075,5.366722,-13.348657,-73.252182
64,12.525863,1.859431,0.160623,1.977776,2.314871,-4.193104,-35.867008
65,17.866602,-1.955383,-2.128265,1.214813,-6.840682,8.0143,8.384831
66,17.866602,-8.059085,-2.891228,2.740739,-9.12957,17.932816,52.636669
67,20.918453,3.385356,0.160623,8.081478,-4.551794,20.984667,83.155179
68,18.629565,6.437207,2.449511,8.844441,1.551908,14.118002,80.866291
69,4.896236,-9.58501,0.160623,8.844441,7.65561,4.962449,58.740371
70,-1.970429,-3.481308,5.501362,5.029627,7.65561,-1.141253,25.170011
71,-5.785243,10.252021,9.316176,-1.074075,-1.499943,-9.533843,-16.79294
72,-13.41487,1.096468,12.368027,-3.362963,-4.551794,-14.874582,-50.3633
73,-21.044497,-5.007234,10.842101,-6.414814,-9.892533,-20.215321,-59.518853
74,-13.41487,13.303872,13.13099,-5.651851,-2.262905,-20.978284,-54.941077
75,-11.125982,2.622393,9.316176,0.451851,11.470424,-14.874582,-47.311449
76,-11.125982,-10.347973,1.686549,1.214813,11.470424,-4.193104,-24.422567
77,1.081422,4.148319,0.923586,1.214813,3.840796,11.066151,3.044091
