,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-2.8e-05,5e-06,3e-05,-3.2e-05,-2e-05,3e-06,2.4e-05
5,11.838955,19.030341,20.634884,3.500931,9.254661,-9.702662,-36.192738
6,18.70562,16.741453,15.294145,3.500931,3.150959,-15.806364,-30.089036
7,18.70562,2.245161,9.953406,1.212043,-4.478669,-24.198954,-23.985334
8,19.468582,2.245161,9.953406,5.78982,0.862071,-24.198954,-8.72608
9,17.179694,4.534049,12.242294,8.841671,5.439847,-17.332289,20.266504
10,13.36488,4.534049,12.242294,6.552782,7.728735,-7.413774,49.259088
11,8.787104,7.5859,11.479331,5.78982,1.625033,7.082518,62.229455
12,4.209328,7.5859,10.716368,3.500931,-6.767557,17.001034,49.259088
13,-1.894374,0.719235,9.953406,1.975006,-9.819408,20.052885,16.451691
14,-6.472151,-11.488168,9.190443,-0.313882,-13.634221,18.526959,-17.881633
15,-5.709188,-10.725206,9.190443,-4.891659,-6.767557,15.475108,-36.192738
16,-0.368449,-8.436317,7.664517,-7.180547,0.862071,13.18622,-32.377925
17,4.97229,-10.725206,0.03489,-10.232398,3.913922,7.082518,-19.407558
18,7.261179,-9.19928,-7.594737,-10.232398,4.676884,-1.310072,-17.881633
19,5.735253,-7.673355,-15.224365,-11.758323,2.387996,-11.99155,-23.222372
20,-2.657337,-16.065945,-19.802141,-7.94351,0.862071,-15.806364,-12.540893
21,-11.049927,-27.510386,-24.379918,-4.128696,7.728735,-15.043401,7.296138
22,-13.338815,-13.014094,-21.328067,-1.076845,6.965773,-6.650811,17.977616
23,-13.338815,6.822937,-22.853992,1.212043,7.728735,2.504742,20.266504
24,-15.627704,8.348863,-19.802141,1.975006,1.625033,10.134369,19.503542
25,-17.916592,11.400714,-17.513253,0.449081,-7.530519,10.897332,21.79243
26,-18.679554,11.400714,-12.172514,1.975006,-8.293482,7.082518,20.266504
27,-14.101778,2.245161,-5.305849,5.78982,2.387996,1.741779,9.585026
28,-1.894374,0.719235,-1.491035,6.552782,3.150959,-4.361923,-16.355707
29,11.838955,12.926639,3.086741,8.841671,6.965773,-10.465625,-47.637179
