,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-3.2e-05,2.6e-05,-3.8e-05,-1e-05,-1.5e-05,4.3e-05,3.3e-05
5,-11.845651,3.148481,16.281182,0.359585,-8.779903,18.05421,20.710573
6,-11.845651,4.674407,16.281182,-1.929303,-8.779903,18.817173,13.843908
7,-10.319726,7.726258,15.518219,-1.929303,-7.253978,21.106061,0.873542
8,-8.7938,6.963295,14.755257,-1.16634,-3.439164,21.106061,-15.911639
9,-9.556763,1.622556,8.651555,1.885511,3.4275,19.580135,-29.644968
10,-6.504912,0.09663,7.888592,4.937362,4.953426,8.135694,-36.511632
11,-4.978987,2.385519,5.599704,4.937362,4.190463,-4.834672,-28.119042
12,-0.40121,4.674407,4.836741,4.937362,1.901575,-18.568001,-5.23016
13,1.887678,6.200332,1.021927,5.700325,0.375649,-27.723554,16.132796
14,4.939529,3.148481,-2.792886,6.463287,2.664538,-32.301331,19.94761
15,4.176566,0.09663,-7.370663,8.752175,8.005277,-31.538368,12.317983
16,6.465454,-1.429295,-10.422514,10.278101,7.242314,-27.723554,6.977244
17,5.702492,-1.429295,-14.237327,10.278101,8.768239,-20.093927,4.688355
18,2.650641,-4.481146,-18.052141,7.989213,5.716389,-13.227262,4.688355
19,1.887678,-3.718183,-20.341029,5.700325,1.901575,-3.308747,7.740206
20,1.124715,-4.481146,-20.341029,4.174399,-1.150276,1.26903,6.977244
21,0.361753,-3.718183,-19.578067,-0.403377,-5.728053,5.083843,0.873542
22,2.650641,-6.007072,-18.052141,-3.455228,-8.016941,5.083843,0.110579
23,1.887678,-5.244109,-13.474365,-7.270042,-2.676202,7.372732,-4.467198
24,4.176566,-3.718183,-11.948439,-10.321893,3.4275,8.135694,-12.859788
25,7.228417,-5.244109,-10.422514,-13.373744,4.190463,6.609769,-10.570899
26,7.99138,-5.244109,-8.133626,-14.899669,1.901575,2.031992,2.399467
27,7.99138,-2.955221,-5.844737,-12.610781,-0.387313,-5.597635,19.94761
28,7.99138,-4.481146,-2.029924,-8.795967,-1.913239,-11.701337,31.392051
29,7.99138,-3.718183,3.310816,-4.981154,-1.913239,-13.990225,30.629088
30,7.99138,0.859593,7.125629,-1.929303,1.901575,-8.649486,16.895759
31,7.99138,2.385519,10.940443,1.122548,0.375649,-0.256896,1.636504
32,5.702492,3.148481,12.466368,1.122548,0.375649,7.372732,-8.282011
