,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,2.1e-05,-3.8e-05,1.5e-05,3.5e-05,-1.2e-05,-2.3e-05,7e-06
5,-12.44819,-1.971996,-10.517682,2.966217,4.009625,8.783248,-226.481274
6,-10.922265,0.316892,-7.465831,6.781031,5.53555,7.257323,-181.466473
7,-6.344488,2.60578,-5.176943,6.018068,1.720736,5.731398,-79.229466
8,-2.529675,1.842817,-2.888055,5.255105,4.772587,3.442509,29.111243
9,1.285139,4.131705,0.163796,6.018068,6.298513,3.442509,107.696405
10,2.811064,2.60578,0.163796,4.492142,-5.908891,-4.950081,146.607504
11,6.625878,11.761333,4.741573,5.255105,-4.382965,-7.238969,148.13343
12,8.151804,5.657631,7.030461,5.255105,-1.331114,-11.816745,91.674187
13,6.625878,5.657631,7.793424,0.677329,2.483699,-9.527857,24.533466
14,5.099953,8.709482,6.267498,-2.374522,10.876289,-7.238969,-6.748006
15,2.811064,3.368743,8.556386,-3.900448,9.350364,-3.424155,-22.770223
16,2.048102,7.946519,13.134163,-3.900448,0.194811,-4.187118,-47.947994
17,2.048102,1.842817,20.000827,-4.66341,-7.434816,-3.424155,-77.70354
18,0.522176,-1.971996,20.000827,-4.66341,-13.538518,1.916584,-112.799826
19,2.048102,-1.209034,21.526753,-2.374522,-8.960742,12.598062,-127.296118
20,4.33699,-3.497922,19.237865,-0.085634,-2.094077,22.516578,-81.518354
21,1.285139,-8.075698,12.3712,3.72918,-0.568152,22.516578,19.95569
22,-1.003749,-11.890512,6.267498,4.492142,3.246662,9.546211,123.718622
23,-1.003749,-13.416438,2.452685,7.543993,6.298513,-8.764894,178.651939
24,-1.766712,-14.1794,-1.362129,2.966217,3.246662,-22.498224,168.733424
25,-1.766712,-0.446071,-3.651017,-2.374522,4.009625,-24.787112,94.726038
26,-1.766712,1.842817,-7.465831,-6.952299,3.246662,-14.868596,-6.748006
27,-7.870414,-6.549773,-9.754719,-9.241187,-3.620003,-3.424155,-91.43687
28,-6.344488,0.316892,-11.280645,-4.66341,1.720736,9.546211,-142.555373
29,-6.344488,3.368743,-10.517682,2.203254,4.009625,10.309174,-150.185
30,-6.344488,1.079854,-12.80657,2.203254,0.194811,6.49436,-112.799826
31,-3.292637,-6.549773,-12.80657,4.492142,5.53555,5.731398,-42.607254
32,-3.292637,0.316892,-14.332496,2.203254,5.53555,5.731398,24.533466
33,1.285139,5.657631,-14.332496,2.203254,-3.620003,2.679547,71.837156
34,1.285139,5.657631,-10.517682,4.492142,-5.145928,0.390658,96.251964
35,5.099953,10.235407,-7.465831,5.255105,-7.434816,-7.238969,93.200113
36,4.33699,14.050221,-0.599166,4.492142,-5.145928,-14.868596,70.311231
37,2.048102,5.657631,0.163796,2.966217,6.298513,-17.157485,39.029758
38,0.522176,4.894668,5.504535,0.677329,13.165178,-17.920447,11.5631
39,0.522176,4.894668,10.082312,-0.848597,10.876289,-14.868596,-12.088745
40,0.522176,4.894668,19.237865,-0.848597,5.53555,-12.579708,-38.792441
41,2.811064,-0.446071,24.578604,-0.085634,-9.723705,-4.950081,-75.414652
42,8.914766,3.368743,30.682306,-0.085634,-18.879257,6.49436,-108.985013
43,9.677729,6.420594,30.682306,2.966217,-5.908891,24.805466,-104.407236
44,11.966617,-0.446071,27.630455,5.255105,-0.568152,39.301758,-63.207248
45,8.914766,-9.601624,19.237865,3.72918,-4.382965,39.301758,6.222361
46,4.33699,-11.890512,12.3712,6.018068,1.720736,27.857317,92.43715
47,-0.240787,-11.127549,3.97861,2.203254,1.720736,8.783248,145.081579
48,-1.766712,-11.890512,-1.362129,-2.374522,0.957774,-8.764894,140.503802
49,-5.581526,-5.78681,-5.939906,-7.715261,1.720736,-15.631559,90.148262
50,-8.633377,-5.78681,-16.621384,-13.056001,2.483699,-13.342671,19.192727
51,-11.685228,-6.549773,-22.725086,-13.818963,-2.85704,-11.053783,-58.629472
52,-10.922265,-3.497922,-25.013974,-9.241187,-5.908891,-4.950081,-113.562789
53,-10.159302,0.316892,-27.302862,-1.611559,2.483699,-3.424155,-131.873895
54,-6.344488,2.60578,-28.065825,4.492142,7.061476,1.153621,-111.273901
55,-4.818563,-5.023847,-28.065825,5.255105,8.587401,6.49436,-62.444286
56,-4.0556,0.316892,-25.013974,6.018068,7.061476,12.598062,6.222361
57,0.522176,3.368743,-23.488049,5.255105,4.009625,10.309174,69.548268
58,3.574027,6.420594,-15.095458,5.255105,-4.382965,4.968435,103.881591
59,8.151804,12.524296,-2.888055,6.018068,-6.671854,-4.950081,103.118628
60,8.914766,13.287258,4.741573,1.440291,-3.620003,-11.816745,74.126044
61,8.151804,10.99837,10.082312,0.677329,4.009625,-11.053783,35.214945
62,4.33699,13.287258,15.423051,-5.426373,8.587401,-4.950081,2.407547
63,3.574027,6.420594,20.000827,-4.66341,6.298513,2.679547,-16.666521
64,-0.240787,4.894668,26.867492,-6.189336,0.194811,7.257323,-38.792441
65,0.522176,-0.446071,33.734157,-3.900448,-12.012593,8.783248,-67.785025
66,3.574027,-0.446071,37.54897,-3.900448,-15.064444,13.361025,-97.540572
67,5.862915,1.842817,38.311933,-2.374522,-8.960742,20.22769,-101.355385
68,6.625878,-4.260885,33.734157,1.440291,1.720736,27.857317,-67.022062
69,5.099953,-6.549773,27.630455,5.255105,-0.568152,24.042503,6.985323
70,0.522176,-14.1794,17.711939,4.492142,-2.094077,12.598062,93.963075
71,2.811064,-9.601624,10.082312,6.018068,0.957774,-0.372304,142.029728
72,-1.003749,-8.838661,0.163796,2.966217,-2.85704,-12.579708,129.059361
73,-2.529675,-5.023847,-6.702868,-0.848597,2.483699,-13.342671,75.65197
74,-5.581526,-4.260885,-18.147309,-3.900448,-2.094077,-11.053783,6.985323
75,-10.159302,-9.601624,-25.776937,-6.952299,-5.145928,-5.713044,-57.866509
76,-10.922265,-1.209034,-29.59175,-0.848597,5.53555,-3.424155,-99.82946
77,-10.159302,-2.734959,-31.880639,1.440291,4.772587,-7.238969,-105.933162
78,-11.685228,-1.209034,-31.117676,1.440291,7.824438,-11.816745,-90.673907
79,-10.159302,-0.446071,-32.643601,1.440291,14.691103,-12.579708,-60.155397
80,-6.344488,4.894668,-30.354713,1.440291,10.113327,-10.29082,-5.985043
81,-1.003749,8.709482,-25.013974,0.677329,4.009625,-10.29082,40.555684
82,2.048102,10.235407,-17.384347,-0.085634,-4.382965,-11.053783,69.548268
83,5.862915,13.287258,-8.991757,0.677329,-5.145928,-13.342671,79.466783
84,8.914766,11.761333,0.163796,1.440291,0.194811,-11.053783,68.022342
85,8.914766,10.235407,7.030461,0.677329,9.350364,-6.476006,48.185311
86,6.625878,7.946519,12.3712,-0.085634,13.165178,0.390658,42.844572
87,2.048102,6.420594,19.237865,-3.137485,7.824438,6.49436,26.059392
88,3.574027,0.316892,26.867492,-5.426373,-8.960742,9.546211,-28.110962
89,2.811064,1.079854,33.734157,-6.952299,-21.168146,12.598062,-86.859093
90,5.862915,3.368743,38.311933,-4.66341,-16.590369,17.938801,-125.00723
91,6.625878,4.894668,39.074896,-1.611559,-4.382965,21.753615,-140.266485
92,4.33699,-6.549773,32.971194,-0.848597,-2.85704,18.701764,-106.696124
93,2.811064,-5.78681,26.104529,1.440291,1.720736,10.309174,-8.273931
94,-1.766712,-11.127549,13.134163,4.492142,4.009625,-1.135267,101.592703
95,-1.003749,-13.416438,7.030461,3.72918,-2.85704,-13.342671,165.681573
96,-4.0556,-8.075698,-4.41398,1.440291,-5.908891,-14.868596,168.733424
97,-2.529675,-5.78681,-11.280645,-0.085634,-2.85704,-7.238969,119.140846
98,-7.107451,-5.78681,-21.962123,-1.611559,-8.197779,-1.135267,31.400131
99,-7.870414,-5.023847,-25.013974,-0.085634,-2.094077,8.020286,-55.577621
100,-7.870414,1.842817,-29.59175,4.492142,12.402215,5.731398,-120.429454
101,-10.159302,2.60578,-32.643601,5.255105,7.824438,-3.424155,-148.659075
102,-11.685228,-2.734959,-34.169527,3.72918,7.824438,-9.527857,-139.503522
103,-10.922265,1.079854,-33.406564,2.966217,11.639252,-12.579708,-84.570205
104,-7.870414,2.60578,-29.59175,0.677329,5.53555,-17.157485,-5.22208
105,-4.0556,7.183556,-21.962123,-0.085634,-2.85704,-18.68341,74.889007
106,1.285139,10.235407,-14.332496,-1.611559,-4.382965,-19.446373,129.822324
107,7.388841,12.524296,-8.228794,2.203254,0.957774,-16.394522,139.74084
108,11.966617,13.287258,0.163796,2.966217,4.772587,-11.053783,94.726038
109,10.440692,9.472445,3.215647,0.677329,6.298513,-2.661193,33.689019
110,10.440692,7.946519,9.319349,1.440291,9.350364,9.546211,-8.273931
111,8.914766,5.657631,14.660088,-2.374522,-7.434816,14.123988,-45.659105
112,9.677729,4.894668,23.815641,-5.426373,-20.405183,20.22769,-78.466503
113,11.203655,7.946519,28.393418,-4.66341,-15.827406,27.094354,-100.592422
114,9.677729,0.316892,29.919343,-3.900448,-9.723705,30.909168,-105.170199
115,7.388841,-2.734959,28.393418,-4.66341,-2.85704,30.146205,-93.725758
116,3.574027,-8.838661,23.052678,-3.137485,0.957774,22.516578,-37.266515
117,0.522176,-9.601624,17.711939,-2.374522,-3.620003,10.309174,58.86679
118,-1.766712,-8.838661,10.082312,-0.085634,-2.85704,-2.661193,141.266765
119,-4.818563,-13.416438,3.97861,-0.085634,-5.145928,-9.527857,169.496386
120,-7.107451,-7.312736,-3.651017,-1.611559,-2.85704,-9.527857,129.059361
121,-7.870414,-8.838661,-9.754719,-0.848597,0.957774,-5.713044,41.318647
122,-9.396339,-8.838661,-15.858421,-3.137485,-1.331114,-5.713044,-47.185031
123,-9.396339,-2.734959,-17.384347,0.677329,4.772587,-6.476006,-103.644273
124,-9.396339,-0.446071,-19.673235,2.966217,8.587401,-11.816745,-125.00723
125,-6.344488,1.842817,-21.962123,3.72918,7.061476,-15.631559,-110.510938
126,-6.344488,4.894668,-21.962123,3.72918,10.113327,-15.631559,-70.073913
127,-3.292637,7.946519,-21.962123,5.255105,10.876289,-11.816745,-12.088745
128,-3.292637,4.894668,-21.962123,3.72918,2.483699,-9.527857,39.792721
129,0.522176,6.420594,-17.384347,1.440291,-4.382965,-8.001932,76.414932
130,4.33699,10.235407,-12.80657,0.677329,-6.671854,-8.001932,87.859374
131,8.151804,12.524296,-11.280645,-0.085634,-3.620003,-2.661193,68.022342
132,8.914766,11.761333,-7.465831,0.677329,0.957774,7.257323,32.926056
133,6.625878,7.946519,-5.176943,-0.848597,3.246662,16.412876,4.696435
134,4.33699,3.368743,-0.599166,-3.900448,2.483699,18.701764,-2.170229
135,2.811064,4.894668,4.741573,-7.715261,-8.960742,15.649913,-7.510969
136,4.33699,-0.446071,12.3712,-10.767112,-16.590369,9.546211,-31.162813
137,5.862915,5.657631,17.711939,-10.767112,-8.960742,7.257323,-72.362801
138,6.625878,-3.497922,21.526753,-6.952299,-2.85704,8.783248,-108.22205
139,4.33699,-5.78681,21.526753,-5.426373,-0.568152,10.309174,-104.407236
140,4.33699,-11.127549,20.000827,1.440291,1.720736,8.020286,-43.370217
141,1.285139,-9.601624,18.474902,5.255105,-2.094077,4.205472,48.948274
142,-0.240787,-11.890512,16.186014,6.781031,-5.908891,-2.661193,126.770473
143,-3.292637,-13.416438,13.134163,6.018068,-5.908891,-4.187118,155.763057
144,-4.818563,-7.312736,8.556386,6.018068,0.957774,-2.661193,123.718622
145,-7.870414,-6.549773,4.741573,3.72918,3.246662,-0.372304,57.340864
146,-10.159302,-2.734959,3.215647,0.677329,0.957774,-4.950081,-11.325782
147,-10.922265,-1.971996,3.97861,-1.611559,4.009625,-11.816745,-79.229466
148,-10.922265,2.60578,0.926759,-0.848597,7.061476,-24.787112,-123.481305
149,-7.870414,0.316892,-3.651017,-0.848597,1.720736,-31.653777,-133.39982
150,-7.107451,1.079854,-10.517682,-0.848597,13.165178,-29.364888,-106.696124
151,-1.766712,6.420594,-15.095458,2.966217,14.691103,-22.498224,-47.947994
152,-1.003749,6.420594,-18.147309,0.677329,-2.85704,-17.920447,30.637168
153,5.862915,6.420594,-19.673235,2.966217,-4.382965,-9.527857,100.82974
154,8.151804,14.050221,-18.910272,5.255105,-4.382965,-1.135267,132.874175
155,10.440692,12.524296,-21.962123,5.255105,-2.85704,7.257323,124.481585
156,7.388841,7.183556,-21.962123,2.966217,-1.331114,16.412876,77.177895
157,2.811064,4.131705,-20.436198,0.677329,3.246662,21.753615,8.511249
158,-0.240787,0.316892,-17.384347,-2.374522,0.194811,20.22769,-53.288733
159,-2.529675,-2.734959,-8.228794,-4.66341,-10.486667,11.835099,-83.807242
160,2.048102,1.079854,2.452685,-7.715261,-11.24963,0.390658,-105.933162
161,5.862915,6.420594,10.082312,-5.426373,-5.145928,-7.238969,-113.562789
162,4.33699,-0.446071,13.897126,-7.715261,-3.620003,-7.238969,-89.910944
163,3.574027,-8.075698,15.423051,-2.374522,2.483699,-2.661193,-36.503553
164,0.522176,-10.364587,18.474902,3.72918,9.350364,-1.135267,39.792721
165,0.522176,-9.601624,19.237865,5.255105,0.957774,-2.661193,117.61492
166,-1.003749,-8.838661,18.474902,7.543993,-5.145928,-3.424155,161.103796
167,-0.240787,-8.075698,16.186014,6.018068,-7.434816,-1.135267,139.74084
168,-1.766712,-2.734959,13.134163,2.966217,-6.671854,5.731398,71.837156
169,-4.818563,-2.734959,8.556386,1.440291,-1.331114,10.309174,-9.036894
170,-7.107451,-2.734959,8.556386,-3.900448,0.194811,10.309174,-81.518354
171,-7.107451,-1.971996,6.267498,-3.900448,1.720736,1.916584,-131.110932
172,-8.633377,4.131705,0.926759,-6.189336,2.483699,-11.053783,-137.214634
173,-7.107451,4.894668,-5.176943,-6.952299,4.772587,-18.68341,-99.82946
174,-5.581526,3.368743,-13.569533,-4.66341,9.350364,-23.261186,-40.318366
175,-6.344488,3.368743,-17.384347,-1.611559,10.113327,-20.972298,28.34828
176,-1.766712,7.183556,-19.673235,0.677329,6.298513,-19.446373,85.570485
177,-0.240787,7.946519,-18.147309,2.966217,-4.382965,-17.157485,106.170479
178,3.574027,7.946519,-15.858421,3.72918,-8.960742,-12.579708,90.911224
179,5.862915,15.576146,-13.569533,6.018068,-3.620003,2.679547,50.474199
180,7.388841,11.761333,-10.517682,6.781031,2.483699,21.753615,0.118659
