,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,8e-06,4.7e-05,2.7e-05,-1.7e-05,1.7e-05,-3e-05,1.8e-05
5,0.577305,-3.762396,3.432618,-2.985769,-2.906229,22.928594,41.056928
6,-4.763434,1.578343,6.484469,-2.222806,0.145622,27.50637,41.056928
7,-5.526396,2.341306,8.773358,-2.985769,-2.906229,27.50637,25.797673
8,-8.578247,-0.710545,11.062246,-8.326508,-2.906229,23.691557,4.434716
9,-8.578247,3.104269,13.351134,-6.03762,-4.432154,20.639706,-12.350464
10,-7.815285,4.630194,17.165948,-8.326508,-5.195117,16.061929,-29.135644
11,-7.815285,3.104269,12.588171,-3.748732,-4.432154,6.143414,-45.157861
12,-5.526396,2.341306,12.588171,-1.459844,0.145622,-3.012139,-51.261563
13,-6.289359,3.104269,10.299283,3.117933,-0.61734,-15.982506,-38.291197
14,-6.289359,2.341306,4.958544,5.406821,6.249324,-24.375096,-3.957874
15,-6.289359,-0.710545,1.906693,9.984597,8.538212,-26.663984,31.901375
16,-4.000471,1.578343,-1.145158,9.984597,5.486361,-25.901021,51.738406
17,-5.526396,1.578343,-4.197009,10.74756,1.671548,-23.612133,54.790257
18,-6.289359,0.052418,-7.24886,9.984597,3.197473,-19.034357,34.190263
19,-4.763434,-0.710545,-6.485897,9.221635,1.671548,-12.930655,-1.668985
20,-5.526396,2.341306,-8.011823,3.117933,-0.61734,-6.826953,-30.661569
21,-3.237508,2.341306,-6.485897,-0.696881,-1.380303,0.802675,-42.868973
22,-0.94862,3.104269,-4.197009,-2.985769,-4.432154,9.958227,-37.528234
23,2.103231,2.341306,-2.671083,-6.03762,-4.432154,16.824892,-17.691203
24,2.866194,-2.999433,-1.908121,-5.274657,0.145622,19.11378,1.382866
25,3.629156,-5.288322,-2.671083,-6.03762,3.197473,18.350818,12.827307
26,5.155082,-6.051284,-2.671083,-6.800583,0.145622,10.72119,14.353232
27,6.681007,-5.288322,-4.197009,-5.274657,0.145622,3.854526,16.64212
28,7.44397,-0.710545,-5.722934,-2.222806,1.671548,-1.486214,25.03471
29,8.969896,0.052418,-7.24886,0.066082,0.908585,-4.538065,31.138412
30,8.206933,0.052418,-7.24886,0.066082,0.908585,-6.826953,28.086561
31,7.44397,-1.473508,-8.774785,2.35497,0.145622,-7.589916,12.827307
32,5.155082,-2.236471,-9.537748,3.117933,0.145622,-8.352878,-7.772687
33,4.392119,-3.762396,-10.300711,3.117933,0.908585,-7.589916,-24.557868
34,4.392119,-2.999433,-10.300711,1.592007,1.671548,-9.878804,-36.765271
35,5.918045,-2.236471,-10.300711,0.066082,0.145622,-10.641766,-33.71342
36,6.681007,-3.762396,-7.24886,-0.696881,-0.61734,-9.115841,-16.165277
37,7.44397,-1.473508,-4.197009,-2.222806,-3.669191,-8.352878,4.434716
38,5.918045,-1.473508,-4.959972,-1.459844,-2.143266,-4.538065,16.64212
39,5.155082,-1.473508,-2.671083,-1.459844,0.145622,2.3286,23.508785
40,1.340268,-3.762396,-0.382195,-2.985769,-0.61734,7.669339,22.745822
41,-0.94862,-1.473508,2.669656,-4.511695,-2.906229,16.061929,9.012493
42,-4.000471,0.052418,6.484469,-2.985769,-2.143266,23.691557,-1.668985
43,-5.526396,1.578343,11.062246,-3.748732,-2.906229,27.50637,-7.772687
44,-5.526396,3.867231,15.640022,-2.985769,-2.143266,26.743408,-7.772687
45,-7.815285,1.578343,16.402985,-2.985769,-2.906229,20.639706,-7.009725
46,-6.289359,2.341306,17.165948,-2.222806,-2.906229,12.247116,-8.53565
47,-7.815285,2.341306,16.402985,-2.222806,-2.906229,0.039712,-16.92824
48,-5.526396,3.104269,14.877059,0.066082,0.908585,-7.589916,-23.031942
49,-4.763434,6.156119,12.588171,4.643858,4.723399,-13.693617,-23.794905
50,-4.763434,3.867231,8.773358,6.169784,1.671548,-20.560282,-11.587501
51,-4.000471,3.104269,4.958544,7.695709,1.671548,-25.901021,12.064344
52,-5.526396,2.341306,1.906693,9.221635,3.960436,-27.426947,31.901375
53,-4.000471,1.578343,-0.382195,10.74756,5.486361,-26.663984,34.190263
54,-4.000471,0.052418,-4.959972,9.221635,4.723399,-21.323245,24.271748
55,-6.289359,-2.236471,-8.011823,7.695709,6.249324,-15.982506,7.486567
56,-6.289359,-1.473508,-10.300711,5.406821,0.908585,-6.826953,-8.53565
57,-3.237508,-1.473508,-11.063674,2.35497,-0.61734,5.380451,-17.691203
