,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-1.7e-05,-1e-05,-1.2e-05,-4e-05,-3e-06,3.4e-05,-3e-06
5,-3.939389,-7.319839,-5.96139,-6.086971,5.511671,-8.229471,-35.038883
6,-0.887538,4.887565,0.142312,-10.664748,-6.695733,-15.859098,-8.335187
7,1.40135,12.517192,-4.435464,-9.138822,-2.117956,-12.044285,21.420359
8,2.164313,7.939416,-0.620651,-6.086971,-3.643882,-5.940583,45.072204
9,2.164313,7.939416,-3.672502,-5.324008,4.748708,5.503858,57.279608
10,-0.887538,4.124602,-2.146576,-2.272157,10.089447,11.60756,47.361092
11,-0.887538,3.361639,-2.146576,0.779693,7.800559,10.844598,8.449993
12,-0.887538,-1.9791,-1.383614,1.542656,5.511671,1.689045,-39.61666
13,-0.887538,-5.030951,0.905275,0.016731,0.933895,-8.992434,-70.135169
14,-0.887538,-3.505025,3.194163,-3.03512,-10.510547,-15.859098,-70.898132
15,2.927275,11.754229,5.483051,-1.509195,-5.93277,-12.044285,-34.27592
16,2.927275,10.991267,10.060828,3.068582,-5.93277,-0.599843,25.998136
17,-7.754203,-8.845764,8.534902,1.542656,-13.562397,7.029784,66.435161
18,-8.517166,1.835714,19.979343,4.594507,-12.799435,16.185337,75.590714
19,-9.280128,-1.216137,21.505269,7.646358,5.511671,23.052001,51.938869
20,-8.517166,-6.556876,29.134896,6.883395,4.748708,20.763113,7.68703
21,-6.228277,-0.453174,28.371933,0.016731,7.037596,16.185337,-38.090734
22,-6.99124,-2.742063,31.423784,-1.509195,10.089447,3.977933,-55.638877
23,-3.176427,-8.082802,26.083045,-6.086971,-3.643882,-8.992434,-50.298138
24,2.927275,1.835714,26.846008,-7.612897,-6.695733,-18.147986,-38.090734
25,11.319865,18.620894,19.21638,-6.086971,-0.592031,-17.385024,-19.779628
26,8.268015,7.939416,9.297865,-4.561046,-0.592031,-9.755396,9.975918
27,9.030977,4.887565,3.194163,-1.509195,7.037596,4.740896,46.59813
28,9.030977,3.361639,-5.198427,1.542656,10.089447,13.133486,54.99072
29,2.164313,-6.556876,-16.642868,3.831544,1.696857,10.844598,45.072204
30,2.927275,-8.082802,-20.457682,5.35747,3.985745,3.21497,28.287024
31,0.638387,-7.319839,-22.74657,7.646358,1.696857,-8.229471,-1.468523
32,4.453201,-8.845764,-27.324347,3.068582,-8.984621,-15.096135,-34.27592
33,2.927275,4.887565,-29.613235,3.068582,-2.880919,-10.518359,-43.431473
34,5.979126,6.41349,-28.850272,5.35747,1.696857,-0.599843,-46.483324
35,-0.124576,-6.556876,-28.850272,1.542656,-14.32536,4.740896,-38.090734
36,-0.124576,-9.608727,-20.457682,1.542656,-11.273509,10.081635,3.109254
37,1.40135,-1.216137,-15.879906,2.305619,4.748708,15.422374,25.235173
38,2.927275,-1.9791,-9.776204,-0.746232,0.170932,10.844598,9.975918
39,2.927275,-3.505025,-5.198427,-6.849934,6.274634,8.555709,19.131471
40,3.690238,1.835714,5.483051,-4.561046,12.378336,6.266821,42.783316
41,3.690238,2.598677,12.349716,-10.664748,1.696857,-0.599843,30.575912
