,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,9e-06,-2.2e-05,-4.6e-05,-3.1e-05,-2.8e-05,6e-06,3.6e-05
5,0.032384,2.647237,2.877931,-0.286457,-1.328545,16.499964,-12.154442
6,-1.493542,1.884275,6.692745,-5.627196,-8.958173,14.974039,-9.102591
7,-0.730579,1.884275,11.270521,-7.916085,-10.484098,14.974039,-10.628517
8,-0.730579,0.358349,12.796447,-8.679047,-7.432247,19.551815,-11.391479
9,0.795346,0.358349,15.848297,-8.679047,0.19738,24.129592,-9.102591
10,-0.730579,1.121312,17.374223,-7.153122,4.012194,20.314778,-8.339628
11,-2.256505,0.358349,21.951999,-6.390159,1.723306,14.974039,6.156664
12,-1.493542,6.462051,25.00385,-4.101271,-2.091508,8.870337,30.571471
13,-3.78243,7.987976,26.529776,-5.627196,-8.19521,5.055523,42.778875
14,-6.834281,4.173163,25.766813,-2.575346,-12.010024,5.818486,25.230732
15,-9.123169,2.647237,25.00385,1.239468,-3.617434,8.870337,-9.865554
16,-10.649095,0.358349,22.714962,5.054282,0.960343,8.107374,-50.302579
17,-9.123169,-1.930539,17.374223,7.34317,8.58997,2.766635,-74.717387
18,-6.834281,1.884275,14.322372,8.869096,11.641821,-10.966694,-60.984057
19,-2.256505,5.699088,5.166819,8.106133,10.878858,-23.937061,-19.021107
20,0.032384,4.936125,-0.936883,6.580207,4.012194,-33.092614,22.178881
21,1.558309,2.647237,-8.56651,4.291319,-2.091508,-32.329651,41.252949
22,1.558309,3.4102,-13.144287,4.291319,-2.854471,-24.700024,42.015912
23,0.795346,-1.930539,-18.485026,5.054282,0.19738,-11.729657,25.993695
24,0.795346,-2.693502,-18.485026,7.34317,4.775157,2.003672,6.156664
25,1.558309,-1.930539,-21.536877,5.817245,7.064045,8.870337,-6.813703
26,2.321272,-0.404614,-22.299839,3.528356,0.960343,13.448113,-9.865554
27,3.084235,0.358349,-21.536877,1.239468,-4.380396,14.974039,-2.998889
