,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-1.8e-05,-2.4e-05,-1e-06,2.2e-05,-5e-06,3.2e-05,1.6e-05
5,-2.023641,-3.901429,-5.393124,-0.338041,1.774796,4.103549,-0.190202
6,-1.260678,-6.953279,-2.341273,-2.626929,1.774796,2.577624,0.57276
7,0.265247,-7.716242,-0.815347,-0.338041,1.774796,-0.474227,4.387574
8,3.317098,-3.138466,3.762429,-1.101004,1.774796,0.288735,10.491276
9,4.843024,2.202273,5.288355,-0.338041,3.300721,2.577624,18.883866
10,7.131912,0.676348,5.288355,-0.338041,0.248871,3.340586,22.69868
11,6.368949,0.676348,6.051317,-0.338041,-0.514092,7.1554,22.69868
12,3.317098,-1.61254,6.051317,-1.101004,-0.514092,7.1554,12.780164
13,2.554135,-3.138466,6.051317,-1.101004,-0.514092,1.814661,2.098686
14,2.554135,-3.901429,8.340206,-1.101004,1.011833,-5.814967,-4.767979
15,4.080061,-0.849578,7.577243,-1.863966,4.063684,-11.155706,-10.108718
16,3.317098,-0.086615,5.288355,-2.626929,4.063684,-16.496445,-16.975383
17,3.317098,-3.138466,2.236504,-1.863966,1.011833,-14.970519,-20.790196
18,3.317098,-0.849578,1.473541,-1.863966,1.011833,-11.918669,-18.501308
19,1.791173,-0.849578,-0.052385,0.424922,-4.328906,-6.577929,-10.871681
20,1.02821,-2.375503,-0.052385,1.950847,-4.328906,-0.474227,-1.716128
21,0.265247,-1.61254,-1.57831,4.239736,-1.277055,10.207251,4.387574
22,-1.260678,1.439311,-2.341273,4.239736,-0.514092,17.073916,7.439425
23,-4.312529,-0.086615,-0.815347,2.71381,0.248871,21.651692,9.728313
24,-6.601417,-1.61254,1.473541,2.71381,-0.514092,21.651692,12.780164
25,-5.075492,1.439311,6.051317,-0.338041,-5.091869,16.310953,14.30609
26,-7.36438,2.965236,6.81428,-3.389892,-3.565943,8.681325,11.254239
27,-5.075492,1.439311,9.103168,-3.389892,-2.80298,1.051698,-0.953165
28,-3.549567,4.491162,9.103168,-2.626929,0.248871,-2.763116,-20.790196
29,-0.497716,4.491162,9.866131,0.424922,5.58961,-3.526078,-42.916116
30,-2.786604,0.676348,6.81428,1.950847,4.063684,-4.289041,-51.308706
31,0.265247,1.439311,6.051317,5.002698,2.537759,-2.000153,-33.760563
32,0.265247,-0.849578,2.999466,6.528624,-0.514092,-4.289041,-6.293904
33,1.791173,-3.138466,-3.104235,6.528624,-3.565943,-7.340892,25.750531
34,2.554135,0.676348,-3.867198,8.054549,-3.565943,-5.814967,51.691264
35,2.554135,0.676348,-6.919049,8.054549,1.011833,-4.289041,57.032003
36,2.554135,-0.849578,-9.9709,7.291587,3.300721,-3.526078,41.772748
37,1.02821,-3.138466,-11.496826,4.239736,0.248871,-3.526078,12.780164
38,0.265247,-3.901429,-13.785714,1.187885,-0.514092,-5.052004,-20.790196
39,0.265247,-6.190317,-14.548677,0.424922,-1.277055,-6.577929,-41.39019
40,1.791173,-4.664391,-13.022751,-1.101004,-0.514092,-5.052004,-42.153153
41,1.791173,-3.138466,-12.259788,-0.338041,2.537759,-2.763116,-27.656861
42,3.317098,-5.427354,-10.733863,-0.338041,3.300721,2.577624,-8.582792
43,4.080061,-6.190317,-9.207937,-1.101004,3.300721,4.103549,13.543127
44,5.605986,-5.427354,-6.156086,1.187885,6.352572,4.866512,32.617195
45,8.657837,-2.375503,-6.156086,0.424922,4.826647,1.814661,41.009785
46,9.4208,2.202273,-5.393124,0.424922,3.300721,1.051698,41.772748
47,9.4208,2.965236,-3.867198,0.424922,1.011833,-0.474227,38.720897
48,7.131912,0.676348,-2.341273,-1.863966,-1.277055,1.051698,24.224605
49,3.317098,-3.138466,-0.052385,-2.626929,-3.565943,3.340586,-3.242053
50,4.843024,1.439311,2.236504,-2.626929,0.248871,4.866512,-26.130935
51,3.317098,2.202273,2.236504,-3.389892,-0.514092,-0.474227,-45.205004
