,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-2.7e-05,-1.4e-05,2.6e-05,1.9e-05,-3.5e-05,2e-06,-2.3e-05
5,-2.172962,3.511146,32.738772,-11.916352,-8.824291,7.589354,-82.396109
6,-2.172962,-0.303667,34.264698,-10.390427,-7.298365,5.300466,-109.862768
7,-2.172962,-4.881444,31.975809,-8.864501,-7.298365,3.011578,-120.544246
8,-2.172962,-2.592555,26.63507,-6.575613,-1.957626,2.248615,-95.366476
9,0.878889,-1.06663,18.24248,-1.234874,0.331262,2.248615,-34.329457
10,-2.172962,-7.170332,9.086927,3.342903,1.857188,1.485652,43.492742
11,-4.46185,-10.222183,-0.068626,4.105865,0.331262,1.485652,113.685314
12,-3.698887,-7.933295,-7.698253,6.394754,1.094225,3.774541,155.648264
13,-2.935925,-4.118481,-12.276029,7.157716,0.331262,7.589354,142.677898
14,0.115926,-0.303667,-14.564918,4.105865,-3.483551,8.352317,78.589028
15,0.115926,0.459296,-18.379731,0.291052,-9.587253,10.641205,-6.862798
16,-1.409999,-1.06663,-17.616768,-2.760799,-0.4317,9.11528,-82.396109
17,-2.935925,-1.06663,-16.853806,-0.471911,7.96089,6.063429,-134.277576
18,-1.409999,-0.303667,-13.801955,-5.81265,0.331262,-6.906938,-142.670166
19,-2.935925,-1.829593,-14.564918,-7.338576,0.331262,-16.825453,-102.996103
20,-3.698887,-5.644406,-9.987141,-2.760799,10.249778,-22.929155,-43.48501
21,0.878889,1.985221,-6.172327,1.816977,4.909039,-23.692118,27.470525
22,2.404814,1.985221,-4.646402,3.342903,1.094225,-22.166193,84.69273
23,3.167777,5.037072,-1.594551,6.394754,4.909039,-10.721751,112.159388
24,4.693703,5.800035,0.694337,6.394754,-1.194663,-3.855087,100.714947
25,3.93074,2.748184,1.4573,7.157716,-5.009477,6.063429,72.485326
26,3.93074,7.32596,0.694337,10.209567,4.146076,13.693056,41.966817
27,4.693703,8.851886,6.035076,6.394754,3.383113,18.270833,6.870531
28,0.878889,5.800035,5.272114,-1.997837,-10.350216,17.50787,-35.855382
29,0.878889,0.459296,9.086927,-7.338576,-14.927992,19.033795,-80.870184
30,0.115926,1.985221,11.375816,-8.864501,-4.246514,17.50787,-119.018321
31,3.167777,1.222258,12.138778,-8.864501,-3.483551,12.167131,-119.781284
32,2.404814,-1.829593,11.375816,-11.153389,-1.194663,6.063429,-80.870184
33,0.878889,-3.355518,7.561002,-8.864501,1.094225,1.485652,-17.544277
34,-1.409999,-9.45922,6.035076,-6.575613,0.331262,-4.61805,57.226071
35,-2.172962,-8.696257,3.746188,-3.523762,-1.194663,-3.092124,126.65568
36,0.115926,-1.829593,4.509151,-0.471911,3.383113,-1.566199,158.700115
37,0.115926,1.222258,2.983225,1.054014,-1.957626,4.537503,140.38901
38,-2.172962,-1.829593,2.983225,1.054014,-10.350216,5.300466,77.063103
39,-2.172962,-3.355518,2.983225,2.57994,-4.246514,12.930093,-13.729463
40,-2.172962,-3.355518,2.983225,4.868828,0.331262,11.404168,-98.418327
41,-2.935925,-3.355518,2.983225,6.394754,-0.4317,7.589354,-155.640532
